City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
690,mitchell,US,87.55,clear sky,43.7094,-98.0298,Kelly Inn & Suites
691,longview,US,82.56,moderate rain,32.5007,-94.7405,Homewood Suites by Hilton Longview
692,mamallapuram,IN,83.05,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
693,tual,ID,81.16,broken clouds,-5.6667,132.75,Grand Vilia Hotel
694,dzhebariki-khaya,RU,74.55,overcast clouds,62.2167,135.8,
695,itaituba,BR,80.06,heavy intensity rain,-4.2761,-55.9836,Hotel Campos
698,kindu,CD,70.14,light rain,-2.95,25.95,Résidence Okanda
699,qeshm,IR,85.37,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
701,limbang,MY,80.71,overcast clouds,4.75,115.0,Purnama Hotel
702,awbari,LY,80.96,clear sky,26.5921,12.7805,فندق أوباري
703,cairns,AU,76.1,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
704,inirida,CO,75.15,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
