City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,ramgarh,IN,23.6333,85.5167,86.05,60,25,5.32,scattered clouds
330,san-pedro,CI,4.7485,-6.6363,78.28,89,97,6.15,overcast clouds
331,vasterhaninge,SE,59.1167,18.1,55.62,90,3,1.39,clear sky
332,ibipeba,BR,-11.6408,-42.0111,67.35,71,80,5.55,broken clouds
333,manaus,BR,-3.1019,-60.025,79.3,89,20,3.44,few clouds
334,cabra,ES,37.4725,-4.4421,60.91,75,34,3.09,scattered clouds
335,simplicio mendes,BR,-7.8539,-41.9103,78.12,54,4,7.72,clear sky
336,ulladulla,AU,-35.35,150.4667,57.87,49,6,1.68,clear sky
337,baykit,RU,61.67,96.37,42.03,79,95,12.28,light rain
338,jutai,BR,-5.1833,-68.9,73.96,96,93,2.1,overcast clouds
339,college,US,64.8569,-147.8028,74.59,37,65,1.01,broken clouds
340,lima,PE,-12.0432,-77.0282,63.14,88,90,1.99,overcast clouds
341,kribi,CM,2.95,9.9167,75.97,89,98,2.42,moderate rain
342,kunya,NG,12.2233,8.5325,86.16,54,0,14.23,clear sky
343,odate,JP,40.2686,140.5683,75.24,77,75,10.98,broken clouds
344,ust-nera,RU,64.5667,143.2,73.94,35,28,8.93,scattered clouds
345,mazagao,BR,-0.115,-51.2894,78.85,92,11,4.18,few clouds
346,merauke,ID,-8.4667,140.3333,80.4,78,76,11.23,broken clouds
347,mettmann,DE,51.25,6.9667,61.16,94,75,6.69,light intensity drizzle
348,te anau,NZ,-45.4167,167.7167,45.88,83,30,0.72,scattered clouds
349,antipovka,RU,49.8299,45.3122,55.36,94,94,5.7,light rain
350,atar,MR,20.5169,-13.0499,90.19,17,45,15.32,scattered clouds
351,wilmington,US,34.2257,-77.9447,78.98,83,99,4.0,overcast clouds
352,visby,SE,57.6409,18.296,61.02,63,2,10.36,clear sky
353,naberera,TZ,-4.2,36.9333,58.14,90,89,10.67,overcast clouds
354,haverfordwest,GB,51.8017,-4.9691,58.55,94,100,3.24,overcast clouds
355,namatanai,PG,-3.6667,152.4333,84.43,72,34,4.97,scattered clouds
356,wuwei,CN,37.9281,102.6414,71.17,35,100,2.21,overcast clouds
357,santander,ES,43.4647,-3.8044,59.47,92,58,1.01,broken clouds
